"N°","Institucion","Departamento","Provincia","Distrito","Representante","Sector"
"1","""ONG - Asociacion Civil Virgen de la Medalla Milagrosa""","San Martín","Rioja","Nueva Cajamarca","Sanchez Hoyos,  Juan Armildo","Agricultura/Educacion/Mujer y Desarrollo Social/Trabajo y Promoción Social/"
"2","Abba International","San Martín","San Martín","Tarapoto","Arce Garcia,  Teresa Natividad","Mujer y Desarrollo Social/"
"3","Acción Andina O.N.G.D.","Ayacucho","Huamanga","Pacaycasa","Beingolea Ochoa,  Maxino","Cultura/Educacion/Trabajo y Promoción del Empleo/"
"4","Acción Cristiana Integral para el Desarrollo","Huánuco","Leoncio Prado","Rupa-Rupa","Navarro Tanchiva,  Nelson","Educación/Mujer y Desarrollo Social/Salud/"
"5","Acción Humanitaria sin Fronteras","Lima","Lima","Los Olivos","Pulido Castillo,  Juan Guillermo","Educación/Mujer y Desarrollo Social/Salud/"
"6","Acción para el Desarrollo del Niño y la Mujer","Lima","Lima","La Victoria","Tirado Merino,  Alejandro","Educación/Mujer y Desarrollo Social/"
"7","Acción para la Gestión y el Desarrollo Rural Sostenible de Perú","Lima","Lima","Jesus Maria","Cedillo Cordova,  Kildare Wladimir","Agricultura/Comercio/Mujer y Desarrollo Social/"
"8","Acción por los Niños                                                                                                    ","Lima","Lima","Jesus Maria","Valdivia Valencia,  Juan Carlos","Educación/Mujer y Desarrollo Social/Salud/Trabajo y Promocion Social/"
"9","Acción Social e Integración","Lima","Lima","San Juan De Miraflores","Gutierrez Prado,  Saul Micheski","Economia y Finanzas/Educacion/Mujer y Desarrollo Social/Salud/"
"10","Accion Social y Desarrollo                                                                                              ","Arequipa","Arequipa","Alto Selva Alegre","Quispe Chura,  Rafael","Agricultura/Produccion/Salud/Trabajo y Promocion Social/Otros/"
"11","Accion y Desarrollo","Lima","Lima","San Juan De Lurigancho","Palomino Madueño,  Yanet Flavia","Mujer y Desarrollo Social/PCM/Otros/"
"12","Acciona Microenergía Perú","Cajamarca","Cajamarca","Cajamarca","Olivares Maguil,  Jessica","Energia y Minas/"
"13","Agencia Adventista para el Desarrollo y Recursos Asistenciales - Perú","Lima","Lima","Miraflores","Vergara Serrano,  Plinio Rogelio","Educacion/Mujer y Desarrollo Social/Salud/Otros/"
"14","Agencia de Servicios Estratégicos para el Desarrollo Urbano Regional","Lima","Lima","Miraflores","Albornoz Lira,  Miryam","Presidencia del Consejo de Ministros/"
"15","Agencia Internacional de Cooperación y Desarrollo","Lambayeque","Chiclayo","Pimentel","Gomez Fuertes,  Alberto","Mujer y Poblaciones Vulnerables/Ambiente/Educación/"
"16","Agro Industria","Lambayeque","Chiclayo","Chiclayo","Tapia Santamaria,  Ernesto Cesar","Agricultura/Comercio/Produccion/Mujer y Desarrollo Social/"
"17","Agrosalud de Ucayali","Ucayali","Coronel Portillo","Calleria","Cardenas Lozano,  Nanci Luz","Agricultura/Mujer y Desarrollo Social/Salud/PCM"
"18","Agrupación de Limitados Físicos de San Juan de Dios, Ortopedia y Biomecanica en General","Lima","Lima","Lima","Cuellar Chavez,  Santiago"," Mujer y Poblaciones Vulnerables/Salud/"
"19","Agua y Saneamiento para Perú","Lima","Lima","Ate","Juarez Soto,  Henry Saul","Agricultura/Salud/Vivienda y Construcción/"
"20","Akuy Akuku","Lima","Lima","Magdalena Del Mar","San Martin Pozu,  Jose Joaquin","Ambiente/"
"21","Albergue de la Iglesia Santo Monte de Jehova","Junín","Huancayo","San Agustin","Ayzana Cano,  Raul","Mujer y Poblaciones Vulnerables/"
"22","Aldeas Infantiles SOS Perú - Asociación Nacional","Lima","Lima","San Isidro","Aphang Lam,  Rober Liuwaifon","Mujer y Desarrollo Social/"
"","","","","","Martinez Pacheco,  Nancy",""
